Year,JobsTotal,JobsAgriculture,jobsEntertainment,JobsConstruction, JobsHealthcare, JobsManufacturing, JobsProfessional, JobsRealestate, JobsTrade, JobsTransport, Population, Poverty, Poverty_Under18, Poverty_18to65, Poverty_Over65, Education, Work_Experience, Working_Fulltime, Working_Fulltime_Poverty 
2012,9,1,1,3,1,1,3,1,1,1,134,1,1,1,1,701,701,179,1,
2013,8,1,1,2,1,1,2,1,1,1,116,1,1,1,1,741,741,206,1,
2014,7,1,1,2,1,1,2,1,1,1,143,1,1,1,1,727,727,174,1,
2015,6,1,1,2,1,1,2,1,1,1,33,1,1,1,1,1000,1000,1000,1,
2016,5,1,1,2,1,1,1,1,1,1,71,1,1,1,1,1000,1000,478,1,
2017,5,1,1,1,1,1,1,1,1,1,73,1,1,1,1,959,982,459,1,
2018,5,1,1,2,1,1,1,1,1,1,73,1,1,1,1,967,985,473,1,
2019,5,1,1,2,1,1,1,1,1,1,74,1,1,1,1,969,987,486,1,
2020,5,1,1,2,1,1,1,1,1,1,74,1,1,1,1,972,989,500,1,
2021,5,1,1,2,1,1,1,1,1,1,74,1,1,1,1,975,992,514,1,
